gene_name,gene_id,mean_normal_tissue,se_normal_tissue,mean_TCGA_BRCA_tumor,se_TCGA_BRCA_tumor
RAX,ENSG00000134438.9,0.004737691,5.23E-04,0.031133428,0.004190866
CPLX4,ENSG00000166569.8,0.006370153,6.26E-04,0.025160417,0.002473675
LMAN1,ENSG00000074695.5,43.5246841,0.566900858,124.976099,1.97192642
RP11-27G24.1,ENSG00000267677.1,0.044397821,0.004487029,0,0
CCBE1,ENSG00000183287.13,3.693594989,0.162265785,0.891591193,0.051967834
RP11-27G24.3,ENSG00000267000.1,0.033805882,0.004187462,0,0
RP11-760L24.1,ENSG00000267061.1,0.014069063,0.00294583,0,0
RP11-2N1.1,ENSG00000267269.1,0.01284488,0.00275672,0,0
RP11-2N1.2,ENSG00000267774.2,0.324234858,0.020086733,0,0
RP11-2N1.3,ENSG00000273664.1,0.107445534,0.009610986,0,0
RPS26P54,ENSG00000224161.3,0.016223747,0.002499677,0.073349242,0.004983361
GLUD1P4,ENSG00000267486.1,0.002975817,0.0010249,0.006597159,0.001209044
RP11-824M15.3,ENSG00000267669.1,0.115067102,0.011093777,0,0
PMAIP1,ENSG00000141682.11,2.938015468,0.137321019,33.40683295,1.193992234
RP11-866E20.1,ENSG00000267066.1,7.25E-04,3.32E-04,0,0
NFE2L3P1,ENSG00000267497.1,0.005128758,6.28E-04,0.032813163,0.001887381
RN7SL342P,ENSG00000239398.3,0.001189325,8.16E-04,0.765100568,0.324433839
SDCCAG3P1,ENSG00000256704.3,0.010477778,0.002036897,0,0
RP11-866E20.3,ENSG00000267462.1,0.004257734,9.39E-04,0,0
FAM60CP,ENSG00000267742.1,0.097244227,0.006242963,0,0
RNU6-567P,ENSG00000252555.1,0,0,0.036146117,0.016644136
RP11-795H16.3,ENSG00000267686.1,0.007680828,0.001452792,0,0
RPS3AP49,ENSG00000242060.1,0.196743573,0.008670799,0.676918087,0.018182124
RNU4-17P,ENSG00000202468.1,0,0,0.028649053,0.011686211
RP11-795H16.2,ENSG00000267620.1,0.005046623,7.64E-04,0,0
RP11-396N11.1,ENSG00000267401.1,0.00383878,0.001427635,0,0
MC4R,ENSG00000166603.4,0.040608497,0.005027206,0.127355966,0.029119487
RP11-325K19.3,ENSG00000267400.1,3.73E-04,3.73E-04,0,0
